event,name,clock,t_start_ns,t_end_ns,interval_ns,value,note
L5,cmd_steer_angle,monotonic,399689061276008,399689061322739,46731,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689061325153,399689062000625,675472,0.0,
L5,cmd_fork_speed,monotonic,399689062000625,399689062035896,35271,0.0,
R1,cycle,monotonic,399689059127661,399689109207664,50080003,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689109217315,399689110318513,1101198,0.0,
L5,cmd_traction_speed,monotonic,399689110318513,399689110398193,79680,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689110401214,399689111247613,846399,0.0,
L5,cmd_steer_angle,monotonic,399689111247613,399689111306995,59382,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689111311235,399689112219287,908052,0.0,
L5,cmd_fork_speed,monotonic,399689112219287,399689112262093,42806,0.0,
R1,cycle,monotonic,399689109207664,399689159462634,50254970,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689159473655,399689160713392,1239737,0.0,
L5,cmd_traction_speed,monotonic,399689160713392,399689160799919,86527,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689160806390,399689161533162,726772,0.0,
L5,cmd_steer_angle,monotonic,399689161533162,399689161566089,32927,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689161567964,399689162412948,844984,0.0,
L5,cmd_fork_speed,monotonic,399689162412948,399689162444624,31676,0.0,
R1,cycle,monotonic,399689159462634,399689208622223,49159589,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689208633776,399689209761562,1127786,0.0,
L5,cmd_traction_speed,monotonic,399689209761562,399689209832827,71265,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689209837769,399689210932746,1094977,0.0,
L5,cmd_steer_angle,monotonic,399689210932746,399689211060675,127929,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689211068878,399689212157049,1088171,0.0,
L5,cmd_fork_speed,monotonic,399689212157049,399689212212555,55506,0.0,
R1,cycle,monotonic,399689208622223,399689258740476,50118253,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689258754741,399689260290331,1535590,0.0,
L5,cmd_traction_speed,monotonic,399689260290331,399689260406183,115852,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689260411645,399689261578576,1166931,0.0,
L5,cmd_steer_angle,monotonic,399689261578576,399689261639968,61392,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689261643194,399689262495135,851941,0.0,
L5,cmd_fork_speed,monotonic,399689262495135,399689262538165,43030,0.0,
R1,cycle,monotonic,399689258740476,399689308764003,50023527,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689308778659,399689310440609,1661950,0.0,
L5,cmd_traction_speed,monotonic,399689310440609,399689310511837,71228,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689310514908,399689311531156,1016248,0.0,
L5,cmd_steer_angle,monotonic,399689311531156,399689311594927,63771,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689311599593,399689312385241,785648,0.0,
L5,cmd_fork_speed,monotonic,399689312385241,399689312425483,40242,0.0,
R1,cycle,monotonic,399689308764003,399689358638716,49874713,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689358651748,399689359680650,1028902,0.0,
L5,cmd_traction_speed,monotonic,399689359680650,399689359742617,61967,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689359744984,399689360505062,760078,0.0,
L5,cmd_steer_angle,monotonic,399689360505062,399689360554728,49666,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689360558201,399689361259715,701514,0.0,
L5,cmd_fork_speed,monotonic,399689361259715,399689361298294,38579,0.0,
R1,cycle,monotonic,399689358638716,399689409570765,50932049,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689409584995,399689411110996,1526001,0.0,
L5,cmd_traction_speed,monotonic,399689411110996,399689411185985,74989,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689411190629,399689412413557,1222928,0.0,
L5,cmd_steer_angle,monotonic,399689412413557,399689412488969,75412,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689412494519,399689413641794,1147275,0.0,
L5,cmd_fork_speed,monotonic,399689413641794,399689413682280,40486,0.0,
R1,cycle,monotonic,399689409570765,399689458939399,49368634,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689458957512,399689460136014,1178502,0.0,
L5,cmd_traction_speed,monotonic,399689460136014,399689460255687,119673,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689460264909,399689461391373,1126464,0.0,
L5,cmd_steer_angle,monotonic,399689461391373,399689461452143,60770,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689461456886,399689462197814,740928,0.0,
L5,cmd_fork_speed,monotonic,399689462197814,399689462231226,33412,0.0,
R1,cycle,monotonic,399689458939399,399689509451183,50511784,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689509470626,399689510798417,1327791,0.0,
L5,cmd_traction_speed,monotonic,399689510798417,399689510867501,69084,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689510871115,399689511773260,902145,0.0,
L5,cmd_steer_angle,monotonic,399689511773260,399689511834105,60845,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689511838338,399689513001543,1163205,0.0,
L5,cmd_fork_speed,monotonic,399689513001543,399689513114236,112693,0.0,
R1,cycle,monotonic,399689509451183,399689559342544,49891361,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689559356000,399689560727340,1371340,0.0,
L5,cmd_traction_speed,monotonic,399689560727340,399689560806597,79257,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689560812116,399689561708097,895981,0.0,
L5,cmd_steer_angle,monotonic,399689561708097,399689561751153,43056,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689561754352,399689562527776,773424,0.0,
L5,cmd_fork_speed,monotonic,399689562527776,399689562569789,42013,0.0,
R1,cycle,monotonic,399689559342544,399689608752391,49409847,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689608763774,399689609986089,1222315,0.0,
L5,cmd_traction_speed,monotonic,399689609986089,399689610083918,97829,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689610089043,399689611073351,984308,0.0,
L5,cmd_steer_angle,monotonic,399689611073351,399689611173860,100509,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689611180588,399689612117733,937145,0.0,
L5,cmd_fork_speed,monotonic,399689612117733,399689612167534,49801,0.0,
R1,cycle,monotonic,399689608752391,399689659452171,50699780,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689659522093,399689660993537,1471444,0.0,
L5,cmd_traction_speed,monotonic,399689660993537,399689661062222,68685,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689661065832,399689661988767,922935,0.0,
L5,cmd_steer_angle,monotonic,399689661988767,399689662043754,54987,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689662046462,399689662872121,825659,0.0,
L5,cmd_fork_speed,monotonic,399689662872121,399689662934156,62035,0.0,
R1,cycle,monotonic,399689659452171,399689709220631,49768460,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689709232583,399689710397671,1165088,0.0,
L5,cmd_traction_speed,monotonic,399689710397671,399689710461599,63928,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689710464585,399689711462810,998225,0.0,
L5,cmd_steer_angle,monotonic,399689711462810,399689711521359,58549,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689711524672,399689712393201,868529,0.0,
L5,cmd_fork_speed,monotonic,399689712393201,399689712458541,65340,0.0,
R1,cycle,monotonic,399689709220631,399689758971363,49750732,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689759015306,399689760205924,1190618,0.0,
L5,cmd_traction_speed,monotonic,399689760205924,399689760325984,120060,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689760331885,399689761862404,1530519,0.0,
L5,cmd_steer_angle,monotonic,399689761862404,399689761914356,51952,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689761917511,399689762642898,725387,0.0,
L5,cmd_fork_speed,monotonic,399689762642898,399689762689747,46849,0.0,
diagnostics,Status/*,-,,,,"{'ForkliftTeleopActive': False, 'ForkliftObstacleStopActive': False, 'ForkliftSpeedLimitActive': False, 'ForkliftResetRequired': True, 'HmiLinkOk': False}",
R1,cycle,monotonic,399689758971363,399689808813789,49842426,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689808824925,399689809852695,1027770,0.0,
L5,cmd_traction_speed,monotonic,399689809852695,399689809915352,62657,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689809917758,399689810871372,953614,0.0,
L5,cmd_steer_angle,monotonic,399689810871372,399689810923863,52491,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689810927408,399689811653048,725640,0.0,
L5,cmd_fork_speed,monotonic,399689811653048,399689811722464,69416,0.0,
R1,cycle,monotonic,399689808813789,399689858981568,50167779,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689858995088,399689860255258,1260170,0.0,
L5,cmd_traction_speed,monotonic,399689860255258,399689860332092,76834,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689860343041,399689861080502,737461,0.0,
L5,cmd_steer_angle,monotonic,399689861080502,399689861112365,31863,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689861114259,399689861804466,690207,0.0,
L5,cmd_fork_speed,monotonic,399689861804466,399689861835989,31523,0.0,
R1,cycle,monotonic,399689858981568,399689909076918,50095350,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689909116597,399689910429089,1312492,0.0,
L5,cmd_traction_speed,monotonic,399689910429089,399689910506006,76917,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689910511642,399689911496087,984445,0.0,
L5,cmd_steer_angle,monotonic,399689911496087,399689911537478,41391,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689911539865,399689912220600,680735,0.0,
L5,cmd_fork_speed,monotonic,399689912220600,399689912285391,64791,0.0,
R1,cycle,monotonic,399689909076918,399689959480913,50403995,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689959522416,399689960561907,1039491,0.0,
L5,cmd_traction_speed,monotonic,399689960561907,399689960651590,89683,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689960655486,399689961363996,708510,0.0,
L5,cmd_steer_angle,monotonic,399689961363996,399689961400459,36463,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689961402567,399689962034211,631644,0.0,
L5,cmd_fork_speed,monotonic,399689962034211,399689962070156,35945,0.0,
R1,cycle,monotonic,399689959480913,399690009275637,49794724,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690009290088,399690010795872,1505784,0.0,
L5,cmd_traction_speed,monotonic,399690010795872,399690010876474,80602,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690010882751,399690011915864,1033113,0.0,
L5,cmd_steer_angle,monotonic,399690011915864,399690011949631,33767,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690011951490,399690012626680,675190,0.0,
L5,cmd_fork_speed,monotonic,399690012626680,399690012663135,36455,0.0,
R1,cycle,monotonic,399690009275637,399690058892773,49617136,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690058903391,399690060212330,1308939,0.0,
L5,cmd_traction_speed,monotonic,399690060212330,399690060313380,101050,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690060318071,399690061462078,1144007,0.0,
L5,cmd_steer_angle,monotonic,399690061462078,399690061521803,59725,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690061526274,399690062436032,909758,0.0,
L5,cmd_fork_speed,monotonic,399690062436032,399690062484736,48704,0.0,
R1,cycle,monotonic,399690058892773,399690108680869,49788096,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690108690956,399690110035569,1344613,0.0,
L5,cmd_traction_speed,monotonic,399690110035569,399690110127828,92259,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690110137066,399690111216441,1079375,0.0,
L5,cmd_steer_angle,monotonic,399690111216441,399690111265857,49416,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690111269123,399690112097459,828336,0.0,
L5,cmd_fork_speed,monotonic,399690112097459,399690112155766,58307,0.0,
R1,cycle,monotonic,399690108680869,399690159481765,50800896,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690159494196,399690160957147,1462951,0.0,
L5,cmd_traction_speed,monotonic,399690160957147,399690161038475,81328,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690161044430,399690161978273,933843,0.0,
L5,cmd_steer_angle,monotonic,399690161978273,399690162028519,50246,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690162031865,399690162848843,816978,0.0,
L5,cmd_fork_speed,monotonic,399690162848843,399690162904016,55173,0.0,
R1,cycle,monotonic,399690159481765,399690209094800,49613035,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690209104872,399690210195532,1090660,0.0,
L5,cmd_traction_speed,monotonic,399690210195532,399690210259054,63522,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690210262221,399690211120383,858162,0.0,
L5,cmd_steer_angle,monotonic,399690211120383,399690211164909,44526,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690211167250,399690211938825,771575,0.0,
L5,cmd_fork_speed,monotonic,399690211938825,399690211981248,42423,0.0,
R1,cycle,monotonic,399690209094800,399690259349849,50255049,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690259364125,399690260834011,1469886,0.0,
L5,cmd_traction_speed,monotonic,399690260834011,399690260906803,72792,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690260911539,399690261883283,971744,0.0,
L5,cmd_steer_angle,monotonic,399690261883283,399690261921077,37794,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690261923212,399690262711565,788353,0.0,
L5,cmd_fork_speed,monotonic,399690262711565,399690262746191,34626,0.0,
R1,cycle,monotonic,399690259349849,399690308915881,49566032,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690308925167,399690309955560,1030393,0.0,
L5,cmd_traction_speed,monotonic,399690309955560,399690310039054,83494,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690310043110,399690310964984,921874,0.0,
L5,cmd_steer_angle,monotonic,399690310964984,399690311022109,57125,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690311025493,399690311928828,903335,0.0,
L5,cmd_fork_speed,monotonic,399690311928828,399690311977367,48539,0.0,
R1,cycle,monotonic,399690308915881,399690359174167,50258286,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690359184232,399690360178066,993834,0.0,
L5,cmd_traction_speed,monotonic,399690360178066,399690360239425,61359,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690360242198,399690361190717,948519,0.0,
L5,cmd_steer_angle,monotonic,399690361190717,399690361234982,44265,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690361237013,399690361816016,579003,0.0,
L5,cmd_fork_speed,monotonic,399690361816016,399690361856610,40594,0.0,
R1,cycle,monotonic,399690359174167,399690409032623,49858456,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690409042420,399690410069244,1026824,0.0,
L5,cmd_traction_speed,monotonic,399690410069244,399690410129254,60010,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690410131842,399690411532949,1401107,0.0,
L5,cmd_steer_angle,monotonic,399690411532949,399690411579305,46356,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690411582008,399690412244718,662710,0.0,
L5,cmd_fork_speed,monotonic,399690412244718,399690412283941,39223,0.0,
R1,cycle,monotonic,399690409032623,399690459488678,50456055,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690459501877,399690460926415,1424538,0.0,
L5,cmd_traction_speed,monotonic,399690460926415,399690460982371,55956,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690460984464,399690461623394,638930,0.0,
L5,cmd_steer_angle,monotonic,399690461623394,399690461668319,44925,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690461671006,399690462411052,740046,0.0,
L5,cmd_fork_speed,monotonic,399690462411052,399690462450415,39363,0.0,
R1,cycle,monotonic,399690459488678,399690508621726,49133048,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690508631654,399690509701911,1070257,0.0,
L5,cmd_traction_speed,monotonic,399690509701911,399690509757852,55941,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690509760528,399690510949387,1188859,0.0,
L5,cmd_steer_angle,monotonic,399690510949387,399690511145887,196500,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690511152207,399690512297165,1144958,0.0,
L5,cmd_fork_speed,monotonic,399690512297165,399690512342745,45580,0.0,
R1,cycle,monotonic,399690508621726,399690558551425,49929699,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690558562483,399690559586344,1023861,0.0,
L5,cmd_traction_speed,monotonic,399690559586344,399690559644401,58057,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690559646957,399690560557595,910638,0.0,
L5,cmd_steer_angle,monotonic,399690560557595,399690560628250,70655,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690560633013,399690561646921,1013908,0.0,
L5,cmd_fork_speed,monotonic,399690561646921,399690561692780,45859,0.0,
R1,cycle,monotonic,399690558551425,399690609203463,50652038,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690609216640,399690610305143,1088503,0.0,
L5,cmd_traction_speed,monotonic,399690610305143,399690610366177,61034,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690610368949,399690611305875,936926,0.0,
L5,cmd_steer_angle,monotonic,399690611305875,399690611367810,61935,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690611372425,399690612171891,799466,0.0,
L5,cmd_fork_speed,monotonic,399690612171891,399690612205126,33235,0.0,
R1,cycle,monotonic,399690609203463,399690659381047,50177584,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690659391561,399690660461047,1069486,0.0,
L5,cmd_traction_speed,monotonic,399690660461047,399690660528849,67802,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690660531809,399690661219720,687911,0.0,
L5,cmd_steer_angle,monotonic,399690661219720,399690661265025,45305,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690661267950,399690662093395,825445,0.0,
L5,cmd_fork_speed,monotonic,399690662093395,399690662145185,51790,0.0,
R1,cycle,monotonic,399690659381047,399690709362612,49981565,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690709373877,399690710639929,1266052,0.0,
L5,cmd_traction_speed,monotonic,399690710639929,399690710719309,79380,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690710724223,399690711736658,1012435,0.0,
L5,cmd_steer_angle,monotonic,399690711736658,399690711773022,36364,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690711775123,399690712486122,710999,0.0,
L5,cmd_fork_speed,monotonic,399690712486122,399690712521117,34995,0.0,
R1,cycle,monotonic,399690709362612,399690759023660,49661048,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690759038385,399690760413506,1375121,0.0,
L5,cmd_traction_speed,monotonic,399690760413506,399690760518385,104879,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690760523051,399690761424817,901766,0.0,
L5,cmd_steer_angle,monotonic,399690761424817,399690761499394,74577,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690761504259,399690762219117,714858,0.0,
L5,cmd_fork_speed,monotonic,399690762219117,399690762250987,31870,0.0,
R1,cycle,monotonic,399690759023660,399690809489539,50465879,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690809505289,399690810847489,1342200,0.0,
L5,cmd_traction_speed,monotonic,399690810847489,399690810917530,70041,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690810922439,399690811568021,645582,0.0,
L5,cmd_steer_angle,monotonic,399690811568021,399690811599225,31204,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690811601879,399690812376122,774243,0.0,
L5,cmd_fork_speed,monotonic,399690812376122,399690812416287,40165,0.0,
diagnostics,Status/*,-,,,,"{'ForkliftTeleopActive': False, 'ForkliftObstacleStopActive': False, 'ForkliftSpeedLimitActive': False, 'ForkliftResetRequired': True, 'HmiLinkOk': False}",
R1,cycle,monotonic,399690809489539,399690859077193,49587654,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690859092818,399690860259101,1166283,0.0,
L5,cmd_traction_speed,monotonic,399690860259101,399690860328242,69141,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690860332448,399690861390851,1058403,0.0,
L5,cmd_steer_angle,monotonic,399690861390851,399690861452275,61424,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690861457762,399690862364562,906800,0.0,
L5,cmd_fork_speed,monotonic,399690862364562,399690862411063,46501,0.0,
R1,cycle,monotonic,399690859077193,399690908724362,49647169,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690908742679,399690910843013,2100334,0.0,
L5,cmd_traction_speed,monotonic,399690910843013,399690910930920,87907,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690910936661,399690912112922,1176261,0.0,
L5,cmd_steer_angle,monotonic,399690912112922,399690912165993,53071,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690912169168,399690913027268,858100,0.0,
L5,cmd_fork_speed,monotonic,399690913027268,399690913077092,49824,0.0,
R1,cycle,monotonic,399690908724362,399690959317820,50593458,,
read_rt,ForkliftTractionSpeedRef,monotonic,399690959333711,399690960774519,1440808,0.0,
L5,cmd_traction_speed,monotonic,399690960774519,399690960850066,75547,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399690960854989,399690962535160,1680171,0.0,
L5,cmd_steer_angle,monotonic,399690962535160,399690962623784,88624,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399690962629816,399690963973263,1343447,0.0,
L5,cmd_fork_speed,monotonic,399690963973263,399690964033436,60173,0.0,
R1,cycle,monotonic,399690959317820,399691009344630,50026810,,
read_rt,ForkliftTractionSpeedRef,monotonic,399691009359564,399691010963261,1603697,0.0,
L5,cmd_traction_speed,monotonic,399691010963261,399691011057286,94025,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399691011062915,399691012402036,1339121,0.0,
L5,cmd_steer_angle,monotonic,399691012402036,399691012482052,80016,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399691012488046,399691013800626,1312580,0.0,
L5,cmd_fork_speed,monotonic,399691013800626,399691013851259,50633,0.0,
R1,cycle,monotonic,399691009344630,399691059104675,49760045,,
read_rt,ForkliftTractionSpeedRef,monotonic,399691059122120,399691060701854,1579734,0.0,
L5,cmd_traction_speed,monotonic,399691060701854,399691060777091,75237,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399691060782551,399691061543625,761074,0.0,
L5,cmd_steer_angle,monotonic,399691061543625,399691061578091,34466,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399691061580104,399691062348291,768187,0.0,
L5,cmd_fork_speed,monotonic,399691062348291,399691062381816,33525,0.0,
R1,cycle,monotonic,399691059104675,399691108634152,49529477,,
