event,name,clock,t_start_ns,t_end_ns,interval_ns,value,note
startup,configured_signal_set,-,,,,forklift+warning,"configured signal set: forklift+warning — forklift 4in/3out/5diag (opcua-nodes.md §10), warning 1in/0out/0diag (opcua-nodes.md §13); 5 input slots, 3 output slots, 5 diagnostics, 14 nodes touched, write allowlist 6 keys; silence rule: ForkliftWarningFieldOccupied asserts True after 0.500s of silence (opcua-nodes.md §13.2 W1)"
session,session_timeout_ms,-,,,,10000.0,granted; requested 10000 (granted as requested)
session,secure_channel_lifetime_ms,-,,,,3600000.0,granted; requested 3600000
session,keepalive_period_s,-,,,,3.3333,derived from the granted timeout / 3 (§3.2 S3)
session,namespace_index:server_interfaces,-,,,,2,http://www.siemens.com/simatic-s7-opcua
session,namespace_index:interface,-,,,,3,http://DemoCell
session,connect,-,,,,,opc.tcp://172.19.176.1:4841
L5,cmd_steer_angle,monotonic,399833928993089,399833929091388,98299,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399833929095512,399833929880870,785358,0.0,
L5,cmd_fork_speed,monotonic,399833929880870,399833929985467,104597,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399833848993103,399833929995000,81001897,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399833848993103,399833926825155,77832052,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399833929997709,399833930961925,964216,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399833848993103,399833930961925,81968822,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399833881428754,399833929997709,48568955,,
R1,cycle,monotonic,399833926825155,399833977236395,50411240,,
read_rt,ForkliftTractionSpeedRef,monotonic,399833977248019,399833978554015,1305996,0.0,
L5,cmd_traction_speed,monotonic,399833978554015,399833978760206,206191,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399833978768957,399833979653885,884928,0.0,
L5,cmd_steer_angle,monotonic,399833979653885,399833979793565,139680,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399833979799332,399833981188865,1389533,0.0,
L5,cmd_fork_speed,monotonic,399833981188865,399833981319731,130866,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399833948986855,399833981335174,32348319,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399833948986855,399833977236395,28249540,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399833981339296,399833982360094,1020798,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399833948986855,399833982360094,33373239,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399833929997709,399833981339296,51341587,,
R1,cycle,monotonic,399833977236395,399834027617885,50381490,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834027634990,399834028989499,1354509,0.0,
L5,cmd_traction_speed,monotonic,399834028989499,399834029161864,172365,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834029169242,399834030700075,1530833,0.0,
L5,cmd_steer_angle,monotonic,399834030700075,399834030873041,172966,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834030881350,399834032502862,1621512,0.0,
L5,cmd_fork_speed,monotonic,399834032502862,399834032702888,200026,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399833948986855,399834032748315,83761460,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399833948986855,399834027617885,78631030,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834032752812,399834034093157,1340345,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399833948986855,399834034093157,85106302,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399833981339296,399834032752812,51413516,,
R1,cycle,monotonic,399834027617885,399834077334573,49716688,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834077349595,399834078513676,1164081,0.0,
L5,cmd_traction_speed,monotonic,399834078513676,399834078654380,140704,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834078659247,399834079534348,875101,0.0,
L5,cmd_steer_angle,monotonic,399834079534348,399834079651077,116729,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834079657646,399834080593581,935935,0.0,
L5,cmd_fork_speed,monotonic,399834080593581,399834080731643,138062,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834048562322,399834080745110,32182788,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834048562322,399834077334573,28772251,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834080748719,399834081767691,1018972,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834048562322,399834081767691,33205369,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834032752812,399834080748719,47995907,,
R1,cycle,monotonic,399834077334573,399834127015966,49681393,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834127029953,399834128391589,1361636,0.0,
L5,cmd_traction_speed,monotonic,399834128391589,399834128565502,173913,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399834128575571,399834130414169,1838598,0.0,
L5,cmd_steer_angle,monotonic,399834130414169,399834130597971,183802,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399834130610670,399834131560828,950158,0.0,
L5,cmd_fork_speed,monotonic,399834131560828,399834131684175,123347,0.0,
L1,ForkliftObstacleMinDistance,monotonic,399834048562322,399834131700106,83137784,0.0,
L1cs,ForkliftObstacleMinDistance,monotonic,399834048562322,399834127015966,78453644,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399834131703342,399834132938442,1235100,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399834048562322,399834132938442,84376120,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399834080748719,399834131703342,50954623,,
R1,cycle,monotonic,399834127015966,399834177372927,50356961,,
read_rt,ForkliftTractionSpeedRef,monotonic,399834177384457,399834178569159,1184702,0.0,
L5,cmd_traction_speed,monotonic,399834178569159,399834178763543,194384,0.0,
