pose,regime,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_face_range_m,tag_lateral_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
staging,staging,pallet_absent,6,128.240000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,172,1.000000,,,,,,,,0.013123,0.065242,-0.000000,128.268000,0,271.892739,87.008115,3.105623,2.285623,-0.401857,2.818065,0,none,0,0,face_width_not_pallet_sized,,,0.046908
staging,staging,pallet_absent,7,128.306000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,169,1.000000,,,,,,,,0.014551,0.066411,-0.000000,128.322000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.060251
staging,staging,pallet_absent,8,128.372000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,169,1.000000,,,,,,,,0.012253,0.066002,-0.000000,128.400000,0,271.890825,87.007005,3.105579,2.285579,-0.401867,2.818018,0,none,0,0,face_width_not_pallet_sized,,,0.046119
staging,staging,pallet_absent,9,128.438000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.011866,0.062583,-0.000000,128.466000,0,271.892262,87.007170,3.105537,2.285537,-0.401850,2.817983,0,none,0,0,face_width_not_pallet_sized,,,0.048067
staging,staging,pallet_absent,10,128.504000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.010783,0.062248,-0.000000,128.520000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.063072
staging,staging,pallet_absent,11,128.570000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,169,1.000000,,,,,,,,0.011284,0.062757,-0.000000,128.586000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.059573
staging,staging,pallet_absent,12,128.636000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.010454,0.063808,-0.000000,128.654000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.059906
staging,staging,pallet_absent,13,128.702000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.014045,0.066062,-0.000000,128.718000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.059858
staging,staging,pallet_absent,14,128.768000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.011456,0.062218,-0.000000,128.796000,0,271.892534,87.007896,3.105514,2.285514,-0.401845,2.817965,0,none,0,0,face_width_not_pallet_sized,,,0.046865
staging,staging,pallet_absent,15,128.834000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.010732,0.065857,-0.000000,128.850000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.057786
staging,staging,pallet_absent,16,128.900000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,171,1.000000,,,,,,,,0.015047,0.068920,-0.000000,128.928000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.061302
staging,staging,pallet_absent,17,128.966000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.013216,0.060665,-0.000000,128.984000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.059683
