case,expected,reason,exact,range_m,seed,t_classify_s
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,0,0.10218559999702848
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,1,0.06067089999851305
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,2,0.08621219999986351
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,3,0.052492099999653874
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,4,0.0804917999994359
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,5,0.054887499998585554
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,6,0.05322050000177114
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,7,0.05037099999753991
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,8,0.0681168000010075
pockets_filled,pocket_blocked,pocket_blocked,1,1.5,9,0.05733940000209259
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,0,0.05405170000085491
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,1,0.05431829999724869
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,2,0.06039510000118753
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,3,0.05490279999867198
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,4,0.05696929999976419
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,5,0.07162900000184891
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,6,0.08612189999985276
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,7,0.0977007000001322
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,8,0.06313980000049924
pockets_filled,pocket_blocked,pocket_blocked,1,1.0,9,0.07527729999856092
stringer,stringer_in_path,stringer_in_path,1,2.245,0,0.0827266000014788
stringer,stringer_in_path,stringer_in_path,1,2.245,1,0.05428559999927529
stringer,stringer_in_path,stringer_in_path,1,2.245,2,0.06700490000002901
stringer,stringer_in_path,stringer_in_path,1,2.245,3,0.07032220000110101
stringer,stringer_in_path,stringer_in_path,1,2.245,4,0.05021920000217506
stringer,stringer_in_path,stringer_in_path,1,2.245,5,0.050410700001521036
stringer,stringer_in_path,stringer_in_path,1,2.245,6,0.055151000000478234
stringer,stringer_in_path,stringer_in_path,1,2.245,7,0.05529530000058003
stringer,stringer_in_path,stringer_in_path,1,2.245,8,0.054263199999695644
stringer,stringer_in_path,stringer_in_path,1,2.245,9,0.04961139999795705
stringer,stringer_in_path,stringer_in_path,1,1.5,0,0.05027509999854374
stringer,stringer_in_path,stringer_in_path,1,1.5,1,0.10520739999992657
stringer,stringer_in_path,stringer_in_path,1,1.5,2,0.056331700001464924
stringer,stringer_in_path,stringer_in_path,1,1.5,3,0.0832988000001933
stringer,stringer_in_path,stringer_in_path,1,1.5,4,0.10592480000195792
stringer,stringer_in_path,stringer_in_path,1,1.5,5,0.07822440000018105
stringer,stringer_in_path,stringer_in_path,1,1.5,6,0.07885750000059488
stringer,stringer_in_path,stringer_in_path,1,1.5,7,0.0835679000010714
stringer,stringer_in_path,stringer_in_path,1,1.5,8,0.0969401000002108
stringer,stringer_in_path,stringer_in_path,1,1.5,9,0.09371489999830374
stringer,stringer_in_path,stringer_in_path,1,1.0,0,0.08784030000242637
