case,range_m,yaw_rad,seed,observed,tru_lat_m,tru_range_m,est_lat_m,est_range_m,e_lat_m,e_range_m,e_2d_m,est_yaw_rad,e_yaw_rad,a1_proxy_yaw_rad,roi_u0,roi_u1,roi_v0,roi_v1,face_width_m,face_height_m,pocket_span_m,inliers,floor_found,t_observe_s
staging,2.245,0.1,7,1,-0.4,2.463726758820443,-0.402382007944569,2.4569481819756738,-0.002382007944568998,-0.006778576844769013,0.007184919337642452,0.09931156347177057,-0.000688436528229433,0.2547114049100629,180,347,200,217,1.2166892396584579,0.12385459325864542,0.5648531057135051,354,1,0.06205240000053891
staging,2.245,0.1,8,1,-0.4,2.463726758820443,-0.4025125448679461,2.4577452416111436,-0.002512544867946054,-0.005981517209299181,0.0064877908288248866,0.09915624891998459,-0.0008437510800154147,0.2528310734173181,180,347,200,217,1.217057684521392,0.12389209962193812,0.5650223702927029,363,1,0.04957950000243727
staging,2.245,0.1,9,1,-0.4,2.463726758820443,-0.40238406245075636,2.4569607268090463,-0.0023840624507563413,-0.006766032011396472,0.007173767695454608,0.10014188978606575,0.00014188978606574643,0.2566319847487332,180,347,200,217,1.2166896476454618,0.1238546347902566,0.5648550420560237,363,1,0.05905219999840483
approach_1.5,1.5,-0.1,0,1,-0.4,1.818538289091153,-0.3946891252963255,1.8115801257495576,0.0053108747036745285,-0.00695816334159538,0.008753366621275028,-0.09995954341903099,4.0456580969017164e-05,-0.21412529390072121,138,359,252,279,1.1849538755476259,0.14476812054201763,0.5472906721487679,518,1,0.07122800000070129
approach_1.5,1.5,-0.1,1,1,-0.4,1.818538289091153,-0.39330197404612177,1.8113743898740957,0.0066980259538782505,-0.00716389921705729,0.00980739535610657,-0.10095569383613415,-0.0009556938361341416,-0.21577878196957348,138,359,254,279,1.1868220353887358,0.13425588635619182,0.5454213274215899,514,1,0.05190280000169878
approach_1.5,1.5,-0.1,2,1,-0.4,1.818538289091153,-0.3932570349834364,1.8111674204902,0.006742965016563629,-0.00737086860095304,0.009989858915275849,-0.1004283634750293,-0.0004283634750292947,-0.21140000719273883,138,359,252,279,1.184862458539625,0.14475695194827998,0.5445131437331663,524,1,0.05584680000174558
approach_1.5,1.5,-0.1,3,1,-0.4,1.818538289091153,-0.39479398479146816,1.8120614194189841,0.005206015208531867,-0.006476869672168872,0.008309779485746058,-0.10059699485428761,-0.0005969948542876025,-0.2177162952218956,138,359,252,279,1.1852166633556072,0.1448002258398253,0.5474186596555723,511,1,0.055516000000352506
approach_1.5,1.5,-0.1,4,1,-0.4,1.818538289091153,-0.3933254652212538,1.811482579804048,0.006674534778746244,-0.007055709287105083,0.009712489282199187,-0.09938494599590039,0.0006150540040996133,-0.21059111732029465,138,359,254,279,1.186878626888675,0.13426228810957863,0.5454388211183805,528,1,0.05824940000093193
approach_1.5,1.5,-0.1,5,1,-0.4,1.818538289091153,-0.39471803736415284,1.8117128289939934,0.005281962635847182,-0.006825460097159564,0.008630529231999804,-0.09876014865686376,0.0012398513431362418,-0.21116729733030554,138,359,252,279,1.1850601209898775,0.1447811007544194,0.5473341807828968,511,1,0.04888589999973192
approach_1.5,1.5,-0.1,6,1,-0.4,1.818538289091153,-0.3933691906977013,1.8116839599481833,0.006630809302298701,-0.006854329142969684,0.00953674263066874,-0.09894443360819113,0.001055566391808871,-0.21222818161723705,138,359,254,279,1.1870498369187756,0.13428165576004247,0.5455201528613596,521,1,0.06144439999843598
