pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,t_decode_s,t_classify_s
staging,pallet_rotated,13,956.474000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.010480,0.077169
staging,pallet_rotated,14,956.540000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011244,0.086374
staging,pallet_rotated,15,956.606000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011048,0.076377
staging,pallet_rotated,16,956.672000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011513,0.081766
staging,pallet_rotated,17,956.738000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.010620,0.078297
staging,pallet_rotated,18,956.804000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.012832,0.080547
staging,pallet_rotated,19,956.870000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011133,0.078110
staging,pallet_rotated,20,956.936000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.012929,0.079359
staging,pallet_rotated,21,957.002000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.010580,0.081630
staging,pallet_rotated,22,957.068000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.012210,0.078406
staging,pallet_rotated,23,957.134000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011381,0.077426
staging,pallet_rotated,24,957.200000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011551,0.076980
staging,pallet_rotated,25,957.266000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.010820,0.080315
staging,pallet_rotated,26,957.332000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011516,0.078377
staging,pallet_rotated,27,957.398000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011402,0.080199
staging,pallet_rotated,28,957.464000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.012832,0.076376
staging,pallet_rotated,29,957.530000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.012175,0.082173
staging,pallet_shifted,0,972.512000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010917,0.076982
staging,pallet_shifted,1,972.578000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011215,0.081079
staging,pallet_shifted,2,972.644000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011438,0.077520
staging,pallet_shifted,3,972.710000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.012179,0.081360
staging,pallet_shifted,4,972.776000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011302,0.077942
staging,pallet_shifted,5,972.842000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.014143,0.080918
staging,pallet_shifted,6,972.908000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010776,0.077549
staging,pallet_shifted,7,972.974000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.012093,0.082806
staging,pallet_shifted,8,973.040000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.010477,0.077645
staging,pallet_shifted,9,973.106000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.013714,0.080178
staging,pallet_shifted,10,973.172000,stringer_in_path,1,0,2.245000,-0.099987,2.463726,222.508871,389.639656,198.972164,217.023867,0.029440,0.775436,0.011755,0.081714
