t_sim,gt_x,gt_y,gt_yaw,gt_v,est_v,cmd_v,cmd_w,sm_v,sm_w,gate_v,gate_w,gate_age,traction,steer,env_enable,env_ceiling,env_permit,env_mode,env_publishing,mode_applied,heartbeat,gate_state
0.94,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.96,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
0.98,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.0,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.0199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.0399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.06,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.0802,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.1,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.1199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.1399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.1599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.18,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.2,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.2199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.24,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.2599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.2801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.3,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.32,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.34,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.3599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.3801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.3999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.4199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.44,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.4599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.48,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.4999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.5199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.54,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.5599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.58,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.6,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.62,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.64,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.66,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.6801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.6999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.82,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.84,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.8599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.8801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.8999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.9199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.94,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.96,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.9801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.0001,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.02,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.0399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.0599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.08,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.1599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.18,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.2,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.2199,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.2399,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
2.2601,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
