t_sim,gt_x,gt_y,gt_yaw,cmd_v,cmd_w,steer,traction,refusals
14.964,-7.086047,6.999814,-0.000181,0.300000,0.000000,0.000000,0.300000,0
14.984,-7.086047,6.999814,-0.000181,0.300000,0.000000,0.000000,0.300000,0
15.004,-7.071047,6.999810,-0.000183,0.300000,0.000000,0.000000,0.300000,0
15.024,-7.071047,6.999810,-0.000183,0.300000,0.000000,0.000000,0.300000,0
15.044,-7.071047,6.999810,-0.000183,0.300000,0.000000,0.000000,0.300000,0
15.064,-7.056047,6.999807,-0.000185,0.300000,0.000000,0.000000,0.300000,0
15.084,-7.056047,6.999807,-0.000185,0.300000,0.000000,0.000000,0.300000,0
15.104,-7.041047,6.999803,-0.000187,0.300000,0.000000,0.000000,0.300000,0
15.124,-7.041047,6.999803,-0.000187,0.300000,0.000000,0.000000,0.300000,0
15.144,-7.041047,6.999803,-0.000187,0.300000,0.000000,0.000000,0.300000,0
15.164,-7.026047,6.999799,-0.000188,0.300000,0.000000,0.000000,0.300000,0
15.184,-7.026047,6.999799,-0.000188,0.300000,0.000000,0.000000,0.300000,0
15.204,-7.011047,6.999796,-0.000190,0.300000,0.000000,0.000000,0.300000,0
15.224,-7.011047,6.999796,-0.000190,0.300000,0.000000,0.000000,0.300000,0
15.244,-7.011047,6.999796,-0.000190,0.300000,0.000000,0.000000,0.300000,0
15.264,-6.996047,6.999792,-0.000192,0.300000,0.000000,0.000000,0.300000,0
15.284,-6.996047,6.999792,-0.000192,0.300000,0.000000,0.000000,0.300000,0
15.304,-6.981047,6.999788,-0.000193,0.300000,0.000000,0.000000,0.300000,0
15.324,-6.981047,6.999788,-0.000193,0.300000,0.000000,0.000000,0.300000,0
15.344,-6.981047,6.999788,-0.000193,0.300000,0.000000,0.000000,0.300000,0
15.364,-6.966047,6.999784,-0.000195,0.300000,0.000000,0.000000,0.300000,0
15.384,-6.966047,6.999784,-0.000195,0.300000,0.000000,0.000000,0.300000,0
15.404,-6.951047,6.999781,-0.000197,0.300000,0.000000,0.000000,0.300000,0
15.424,-6.951047,6.999781,-0.000197,0.300000,0.000000,0.000000,0.300000,0
15.444,-6.951047,6.999781,-0.000197,0.300000,0.000000,0.000000,0.300000,0
15.464,-6.936047,6.999777,-0.000198,0.300000,0.000000,0.000000,0.300000,0
15.484,-6.936047,6.999777,-0.000198,0.300000,0.000000,0.000000,0.300000,0
15.504,-6.921047,6.999773,-0.000200,0.300000,0.000000,0.000000,0.300000,0
15.524,-6.921047,6.999773,-0.000200,0.300000,0.000000,0.000000,0.300000,0
15.544,-6.921047,6.999773,-0.000200,0.300000,0.000000,0.000000,0.300000,0
15.564,-6.906047,6.999769,-0.000201,0.300000,0.000000,0.000000,0.300000,0
15.584,-6.906047,6.999769,-0.000201,0.300000,0.000000,0.000000,0.300000,0
15.604,-6.891047,6.999766,-0.000203,0.300000,0.000000,0.000000,0.300000,0
15.624,-6.891047,6.999766,-0.000203,0.300000,0.000000,0.000000,0.300000,0
15.644,-6.891047,6.999766,-0.000203,0.300000,0.000000,0.000000,0.300000,0
15.664,-6.876047,6.999762,-0.000204,0.300000,0.000000,0.000000,0.300000,0
15.684,-6.876047,6.999762,-0.000204,0.300000,0.000000,0.000000,0.300000,0
15.704,-6.861047,6.999758,-0.000206,0.300000,0.000000,0.000000,0.300000,0
15.724,-6.861047,6.999758,-0.000206,0.300000,0.000000,0.000000,0.300000,0
15.744,-6.861047,6.999758,-0.000206,0.300000,0.000000,0.000000,0.300000,0
15.764,-6.846047,6.999754,-0.000207,0.300000,0.000000,0.000000,0.300000,0
15.784,-6.846047,6.999754,-0.000207,0.300000,0.000000,0.000000,0.300000,0
15.804,-6.831047,6.999751,-0.000208,0.300000,0.000000,0.000000,0.300000,0
15.824,-6.831047,6.999751,-0.000208,0.300000,0.000000,0.000000,0.300000,0
15.844,-6.831047,6.999751,-0.000208,0.300000,0.000000,0.000000,0.300000,0
15.864,-6.816047,6.999747,-0.000210,0.300000,0.000000,0.000000,0.300000,0
15.884,-6.816047,6.999747,-0.000210,0.300000,0.000000,0.000000,0.300000,0
15.904,-6.801047,6.999743,-0.000211,0.300000,0.000000,0.000000,0.300000,0
15.924,-6.801047,6.999743,-0.000211,0.300000,0.000000,0.000000,0.300000,0
15.944,-6.801047,6.999743,-0.000211,0.300000,0.000000,0.000000,0.300000,0
15.964,-6.786047,6.999739,-0.000212,0.300000,0.000000,0.000000,0.300000,0
15.984,-6.786047,6.999739,-0.000212,0.300000,0.000000,0.000000,0.300000,0
16.004,-6.771047,6.999735,-0.000214,0.300000,0.000000,0.000000,0.300000,0
16.024,-6.771047,6.999735,-0.000214,0.300000,0.000000,0.000000,0.300000,0
16.044,-6.771047,6.999735,-0.000214,0.300000,0.000000,0.000000,0.300000,0
16.064,-6.756047,6.999731,-0.000215,0.300000,0.000000,0.000000,0.300000,0
16.084,-6.756047,6.999731,-0.000215,0.300000,0.000000,0.000000,0.300000,0
16.104,-6.741047,6.999727,-0.000216,0.300000,0.000000,0.000000,0.300000,0
16.124,-6.741047,6.999727,-0.000216,0.300000,0.000000,0.000000,0.300000,0
16.144,-6.741047,6.999727,-0.000216,0.300000,0.000000,0.000000,0.300000,0
16.164,-6.726047,6.999724,-0.000218,0.300000,0.000000,0.000000,0.300000,0
16.184,-6.726047,6.999724,-0.000218,0.300000,0.000000,0.000000,0.300000,0
16.204,-6.711047,6.999720,-0.000219,0.300000,0.000000,0.000000,0.300000,0
16.224,-6.711047,6.999720,-0.000219,0.300000,0.000000,0.000000,0.300000,0
16.244,-6.711047,6.999720,-0.000219,0.300000,0.000000,0.000000,0.300000,0
16.264,-6.696047,6.999716,-0.000220,0.300000,0.000000,0.000000,0.300000,0
16.284,-6.696047,6.999716,-0.000220,0.300000,0.000000,0.000000,0.300000,0
16.304,-6.681047,6.999712,-0.000221,0.300000,0.000000,0.000000,0.300000,0
16.324,-6.681047,6.999712,-0.000221,0.300000,0.000000,0.000000,0.300000,0
16.344,-6.681047,6.999712,-0.000221,0.300000,0.000000,0.000000,0.300000,0
16.364,-6.666047,6.999708,-0.000222,0.300000,0.000000,0.000000,0.300000,0
16.384,-6.666047,6.999708,-0.000222,0.300000,0.000000,0.000000,0.300000,0
16.404,-6.651047,6.999704,-0.000224,0.300000,0.000000,0.000000,0.300000,0
16.424,-6.651047,6.999704,-0.000224,0.300000,0.000000,0.000000,0.300000,0
16.444,-6.651047,6.999704,-0.000224,0.300000,0.000000,0.000000,0.300000,0
16.464,-6.636047,6.999700,-0.000225,0.300000,0.000000,0.000000,0.300000,0
16.484,-6.636047,6.999700,-0.000225,0.300000,0.000000,0.000000,0.300000,0
16.504,-6.621047,6.999696,-0.000226,0.300000,0.000000,0.000000,0.300000,0
16.524,-6.621047,6.999696,-0.000226,0.300000,0.000000,0.000000,0.300000,0
16.544,-6.621047,6.999696,-0.000226,0.300000,0.000000,0.000000,0.300000,0
16.564,-6.606047,6.999692,-0.000227,0.300000,0.000000,0.000000,0.300000,0
16.584,-6.606047,6.999692,-0.000227,0.300000,0.000000,0.000000,0.300000,0
16.604,-6.591047,6.999688,-0.000228,0.300000,0.000000,0.000000,0.300000,0
16.624,-6.591047,6.999688,-0.000228,0.300000,0.000000,0.000000,0.300000,0
16.644,-6.591047,6.999688,-0.000228,0.300000,0.000000,0.000000,0.300000,0
16.664,-6.576047,6.999684,-0.000229,0.300000,0.000000,0.000000,0.300000,0
16.684,-6.576047,6.999684,-0.000229,0.300000,0.000000,0.000000,0.300000,0
16.704,-6.561047,6.999680,-0.000230,0.300000,0.000000,0.000000,0.300000,0
16.724,-6.561047,6.999680,-0.000230,0.300000,0.000000,0.000000,0.300000,0
