t_sim,gt_x,gt_y,gt_yaw,gt_v,est_v,cmd_v,cmd_w,sm_v,sm_w,gate_v,gate_w,gate_age,traction,steer,env_enable,env_ceiling,env_permit,env_mode,env_publishing,mode_applied,heartbeat,gate_state
1.5803,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.5998,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.6198,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.6398,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.6599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.6801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.6998,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7198,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7398,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7601,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.7998,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.8198,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.8398,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.8599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.88,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.8999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.9198,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.9398,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.9599,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.9801,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
1.9999,-4.499999999999972,7.0,-8.0985587436740885e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,0.6,1,2,1,-1,-1,-1
