pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s
approach_1.50m,clean,29,641.390000,none,0,0,1.499620,-0.399990,1.818210,130.124567,357.977447,254.831582,277.010926,0.049313,0.749919,132,357,256,273,1.207402,0.091226,-0.002160,0.013926,0.047421
approach_1.50m,pallet_absent,0,656.570000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.013534,0.048323
approach_1.50m,pallet_absent,1,656.636000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012452,0.050689
approach_1.50m,pallet_absent,2,656.702000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.011955,0.053642
approach_1.50m,pallet_absent,3,656.768000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012760,0.050979
approach_1.50m,pallet_absent,4,656.834000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.015915,0.049817
approach_1.50m,pallet_absent,5,656.900000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.013345,0.053835
approach_1.50m,pallet_absent,6,656.966000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.013412,0.051782
approach_1.50m,pallet_absent,7,657.032000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.011646,0.051481
approach_1.50m,pallet_absent,8,657.098000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.017894,0.049235
approach_1.50m,pallet_absent,9,657.164000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012744,0.052009
approach_1.50m,pallet_absent,10,657.230000,pallet_absent,1,1,1.499620,23.599984,-4.218068,,,,,0.000000,0.749919,,,,,,,,0.012353,0.052997
