cycle,k,stamp,wall,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,t_classify_s
0,926,1043.396000,168.965126,pallet_rotated,1,7.042068,6.349041,1.561906,2.019041,0.762419,0.068914
0,927,1043.528000,169.117157,pallet_rotated,1,7.041942,6.311866,1.561492,1.981866,0.761452,0.069084
0,928,1043.660000,169.265956,pallet_rotated,1,7.041471,6.274632,1.561641,1.944632,0.761048,0.063790
0,929,1043.858000,169.413355,pallet_rotated,1,7.040754,6.237358,1.562253,1.907358,0.760661,0.064649
0,930,1044.056000,169.602396,pallet_rotated,1,7.050697,5.951911,1.536056,1.621911,0.760446,0.056777
0,931,1044.188000,169.743782,pallet_rotated,1,7.051482,5.939552,1.533867,1.609552,0.760563,0.061595
0,932,1044.320000,169.879934,pallet_rotated,1,7.052281,5.927200,1.531602,1.597200,0.760856,0.059055
0,933,1044.452000,170.016664,pallet_rotated,1,7.053091,5.914855,1.529264,1.584855,0.761364,0.058687
0,934,1044.584000,170.160556,pallet_rotated,1,7.053901,5.902517,1.526895,1.572517,0.761888,0.059028
0,935,1044.716000,170.298026,pallet_rotated,1,7.054652,5.890181,1.524582,1.560181,0.762201,0.063575
0,936,1044.848000,170.437798,pallet_rotated,1,7.055295,5.877841,1.522363,1.547841,0.762832,0.056166
0,937,1044.980000,170.572829,pallet_rotated,1,7.055874,5.865499,1.520195,1.535499,0.763724,0.057706
0,938,1045.112000,170.704455,pallet_rotated,1,7.056409,5.853154,1.518031,1.523154,0.764541,0.059357
0,939,1045.244000,170.841716,pallet_rotated,1,7.056968,5.840810,1.515753,1.510810,0.764954,0.061798
0,940,1045.442000,170.991504,pallet_rotated,1,7.055583,5.619106,1.487477,1.289106,0.764707,0.060690
0,941,1045.574000,171.127193,pallet_rotated,1,7.054112,5.606817,1.488106,1.276817,0.763460,0.065036
0,942,1045.706000,171.264701,pallet_rotated,1,7.052611,5.594524,1.488821,1.264524,0.761729,0.055634
0,943,1045.838000,171.392535,pallet_rotated,1,7.051113,5.582225,1.489572,1.252225,0.759863,0.062241
0,944,1046.102000,171.647681,pallet_rotated,1,7.037177,5.458856,1.497097,1.128856,0.756686,0.062616
0,945,1046.234000,171.788046,pallet_rotated,1,7.035839,5.446495,1.497888,1.116495,0.755452,0.067283
0,946,1046.366000,171.933588,pallet_rotated,1,7.034463,5.434137,1.498746,1.104137,0.754225,0.060649
0,947,1046.498000,172.068749,pallet_rotated,1,7.033073,5.421781,1.499638,1.091781,0.753363,0.061276
0,948,1046.762000,172.306921,pallet_rotated,1,7.019830,5.285565,1.507183,0.955565,0.752679,0.061039
0,949,1046.894000,172.444190,pallet_rotated,1,7.018765,5.273160,1.507730,0.943160,0.752803,0.060045
0,950,1047.026000,172.579869,pallet_rotated,1,7.017650,5.260760,1.508352,0.930760,0.752904,0.062656
0,951,1047.158000,172.721484,pallet_absent,1,7.016497,5.248363,1.509048,0.918363,0.753288,0.078733
0,952,1047.290000,172.897753,pallet_absent,1,7.015307,5.235970,1.509819,0.905970,0.753753,0.074627
0,953,1047.488000,173.068970,pallet_absent,1,7.014074,5.223581,1.510695,0.893581,0.754421,0.099829
