# measure_pose_arrivals run3b moving, 14 s legs at 0.35 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.1
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
191.0243,True,,3994.1,343,12.2,6.161410690042797,12.390350259274044,-0.7319823713381244,187.0302,,,,
191.0758,True,,4076.5,343,94.6,6.161410690042797,12.390350259274044,-0.7319823713381244,186.9993,,,,
191.1586,True,,4134.7,343,51.7,6.161410690042797,12.390350259274044,-0.7319823713381244,187.0239,,,,
191.2165,True,,13.3,344,27.3,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2032,4.2097,1,0.4153,0.0388
191.2925,True,,81.5,344,95.5,5.853596604973329,12.669109133045072,-0.7707724958342922,191.211,,,,
191.3609,True,,148.8,344,65.2,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2121,,,,
191.4288,True,,199.0,344,12.3,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2298,,,,
191.4781,True,,257.2,344,70.5,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2209,,,,
191.5368,True,,306.8,344,22.5,5.853596604973329,12.669109133045072,-0.7707724958342922,191.23,,,,
191.5862,True,,389.1,344,7.6,5.853596604973329,12.669109133045072,-0.7707724958342922,191.1971,,,,
191.6682,True,,437.2,344,55.7,5.853596604973329,12.669109133045072,-0.7707724958342922,191.231,,,,
191.7166,True,,488.9,344,3.8,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2277,,,,
191.7682,True,,536.4,344,51.3,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2318,,,,
191.816,True,,612.1,344,23.0,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2039,,,,
191.892,True,,663.2,344,74.1,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2288,,,,
191.9556,True,,721.7,344,37.3,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2339,,,,
192.0013,True,,781.9,344,97.5,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2194,,,,
192.0618,True,,829.1,344,44.4,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2327,,,,
192.1091,True,,878.8,344,94.1,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2303,,,,
192.1584,True,,950.0,344,64.9,5.853596604973329,12.669109133045072,-0.7707724958342922,191.2084,,,,
192.23,True,,1.1,345,14.6,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2289,1.0257,1,0.2775,0.0194
192.2812,True,,49.0,345,62.5,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2322,,,,
192.3292,True,,101.1,345,15.1,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2281,,,,
192.3812,True,,163.3,345,77.3,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2179,,,,
192.4441,True,,224.0,345,38.0,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2201,,,,
192.5042,True,,284.9,345,2.2,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2193,,,,
192.5652,True,,332.0,345,49.3,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2332,,,,
192.613,True,,384.4,345,101.8,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2286,,,,
192.6652,True,,448.7,345,61.4,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2165,,,,
192.7291,True,,499.6,345,15.5,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2295,,,,
192.7801,True,,573.8,345,89.6,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2063,,,,
192.8543,True,,642.1,345,57.3,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2122,,,,
192.9228,True,,691.6,345,9.5,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2312,,,,
192.9723,True,,776.2,345,94.0,5.70825908092247,12.9055132290362,-0.7902189238613112,192.1961,,,,
193.0571,True,,823.5,345,40.5,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2336,,,,
193.1042,True,,872.3,345,89.4,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2319,,,,
193.1532,True,,951.0,345,67.6,5.70825908092247,12.9055132290362,-0.7902189238613112,192.2022,,,,
193.2462,True,,18.7,346,32.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2275,0.9986,1,0.3316,0.0108
193.2972,True,,69.2,346,82.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.228,,,,
193.348,True,,121.8,346,30.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2262,,,,
193.4006,True,,189.3,346,3.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2113,,,,
193.4681,True,,235.6,346,49.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2325,,,,
193.5145,True,,288.7,346,1.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2258,,,,
193.5675,True,,344.7,346,57.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2228,,,,
193.6237,True,,396.3,346,6.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2274,,,,
193.6751,True,,442.1,346,52.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.233,,,,
193.7209,True,,513.7,346,28.2,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2072,,,,
193.7928,True,,586.2,346,100.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2066,,,,
193.866,True,,649.6,346,60.4,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2164,,,,
193.9289,True,,703.3,346,6.4,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2256,,,,
193.9821,True,,748.0,346,51.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2341,,,,
194.0272,True,,808.0,346,17.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2192,,,,
194.0872,True,,853.9,346,63.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2333,,,,
194.1333,True,,925.0,346,34.3,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2083,,,,
194.204,True,,997.3,346,7.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2067,,,,
194.2766,True,,1056.4,346,66.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2202,,,,
194.3361,True,,1127.8,346,40.7,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2083,,,,
194.4071,True,,1200.1,346,9.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.207,,,,
194.4794,True,,1246.0,346,55.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2334,,,,
194.5404,True,,1312.3,346,18.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2281,,,,
194.5916,True,,1369.3,346,75.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2223,,,,
194.6494,True,,1451.8,346,62.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.1976,,,,
194.7317,True,,1501.9,346,13.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2298,,,,
194.7816,True,,1583.8,346,94.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.1978,,,,
194.8637,True,,1653.0,346,61.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2107,,,,
194.9328,True,,1724.7,346,35.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2081,,,,
195.0046,True,,1795.4,346,7.2,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2092,,,,
195.0755,True,,1841.3,346,53.1,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2342,,,,
195.1214,True,,1891.8,346,3.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2296,,,,
195.1719,True,,1953.2,346,65.3,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2187,,,,
195.2337,True,,2019.8,346,31.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2139,,,,
195.3005,True,,2071.7,346,82.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2288,,,,
195.3521,True,,2142.4,346,51.4,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2097,,,,
195.4232,True,,2204.7,346,14.9,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2185,,,,
195.4849,True,,2251.0,346,61.2,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2339,,,,
195.5317,True,,2327.9,346,38.8,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2038,,,,
195.6084,True,,2393.2,346,4.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2152,,,,
195.6738,True,,2462.0,346,73.4,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2118,,,,
195.7428,True,,2511.0,346,21.0,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2318,,,,
195.7917,True,,2578.6,346,88.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2131,,,,
195.8597,True,,2625.4,346,33.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2343,,,,
195.9185,True,,2687.4,346,95.6,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2311,,,,
195.9686,True,,2734.6,346,43.5,5.48954217811613,13.15474644317167,-0.7794563207343889,193.234,,,,
196.016,True,,2826.2,346,30.2,5.48954217811613,13.15474644317167,-0.7794563207343889,193.1898,,,,
196.1079,True,,2876.4,346,80.4,5.48954217811613,13.15474644317167,-0.7794563207343889,193.2315,,,,
