# measure_pose_arrivals run4 moving SLOW, 30 s legs at 0.15 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.05
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
42.6221,True,,655.6,371,67.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9665,,,,
42.6927,True,,717.3,371,31.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9754,,,,
42.7545,True,,782.5,371,96.5,6.707569193754339,12.006774539242953,-0.8007977370581795,41.972,,,,
42.8202,True,,837.7,371,50.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9825,,,,
42.8751,True,,905.5,371,20.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9696,,,,
42.943,True,,968.9,371,83.5,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9741,,,,
43.0075,True,,1044.8,371,58.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9627,,,,
43.0836,True,,1121.8,371,35.0,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9618,,,,
43.1595,True,,1173.0,371,86.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9865,,,,
43.2113,True,,1236.5,371,40.1,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9748,,,,
43.2745,True,,1305.2,371,20.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9693,,,,
43.344,True,,1353.5,371,68.6,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9905,,,,
43.3918,True,,1432.4,371,45.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9594,,,,
43.4708,True,,1510.2,371,21.7,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9606,,,,
43.5486,True,,1582.8,371,94.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9658,,,,
43.6215,True,,1658.9,371,71.9,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9626,,,,
43.6977,True,,1744.9,371,58.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9528,,,,
43.7839,True,,1806.7,371,19.2,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9772,,,,
43.8459,True,,1864.9,371,77.4,6.707569193754339,12.006774539242953,-0.8007977370581795,41.981,,,,
