wall_utc,EStopDemand,ZoneStopDemand,SafetyResetRequired,DriveModeActive,ModeApplied,MotionEnable,SpeedCeiling,TeleopActive,TractionSpeedRef,LinearSpeed,EquipmentPermit,ProcessStopActive,hmi_reset_req,hmi_teleop_req,hmi_traction_req,hmi_mode_req
2026-08-07T10:46:26.953+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:27.217+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:27.465+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:27.719+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:27.975+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:28.227+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:28.467+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:28.713+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:28.954+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:29.203+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:29.451+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:29.696+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:29.946+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:30.195+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:30.439+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:30.681+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:30.921+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:31.169+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:31.420+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:31.663+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:31.908+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:32.153+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:32.403+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:32.644+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:32.891+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:33.130+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:33.381+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:33.636+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:33.883+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:34.130+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:34.375+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:34.618+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:34.867+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:35.107+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:35.353+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:35.599+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:35.856+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:36.108+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:36.374+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:36.638+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:36.888+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
