cycle,k,stamp,wall,regime,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,num_retries,dock_state,retry_joined,pallet_readback_ok,pallet_moved_m,countable,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
0,43,528.002000,9.964298,approach,none,0,6.969967,5.609747,1.606531,1.279747,0.750046,1,,4,5869,0.991416,106,381,302,325,1.204971,0.100779,-0.045613,0,3,1,1,0.471461,0,0.065086,-0.000000,528.332000,1,,,,,,none,0,1,,1.204971,-0.045613,0.000002
0,44,528.200000,10.152165,approach,stringer_in_path,1,6.970594,5.560093,1.608906,1.230093,0.750540,1,,4,6339,0.912987,102,383,308,333,1.193897,0.106219,-0.046361,0,3,1,1,0.471461,0,0.060840,-0.000000,528.520000,1,,,,,,none,0,1,,1.193897,-0.046361,0.000002
0,45,528.398000,10.341734,close,none,0,6.971252,5.510379,1.611398,1.180379,0.751068,0,face_width_not_pallet_sized,2,2470,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.068889,-0.000000,528.710000,1,,,,,,none,0,1,,1.201985,-0.046423,0.000002
0,46,528.596000,10.551835,close,none,0,6.971675,5.460648,1.614360,1.130648,0.751585,0,face_width_not_pallet_sized,2,2615,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.073101,-0.000000,528.920000,1,,,,,,none,0,1,,1.198346,-0.043550,0.000002
0,47,528.860000,10.767516,close,pallet_absent,1,6.973266,5.398469,1.616605,1.068469,0.752080,0,face_width_not_pallet_sized,2,2761,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.073632,-0.000000,529.136000,0,,,,,,none,0,1,,1.205286,-0.036046,0.073458
0,48,529.124000,11.059951,close,pallet_absent,1,6.976907,5.336364,1.615450,1.006364,0.752868,0,face_width_not_pallet_sized,2,2933,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.074711,-0.000000,529.428000,1,,,,,,none,0,1,,1.211830,-0.027367,0.000002
0,49,529.322000,11.274486,close,none,0,6.980519,5.277359,1.611569,0.947359,0.753346,0,face_width_not_pallet_sized,2,3049,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.072632,-0.000000,529.642000,1,,,,,,none,0,1,,1.202140,-0.024351,0.000002
0,50,529.586000,11.491148,close,pallet_absent,1,6.983469,5.236330,1.605334,0.906330,0.753678,0,face_width_not_pallet_sized,2,3134,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.075220,-0.000000,529.860000,0,,,,,,none,0,1,,1.202081,-0.024576,0.074227
0,51,529.850000,11.784757,close,pallet_absent,1,6.986191,5.181006,1.597191,0.851006,0.754284,0,face_width_not_pallet_sized,2,3304,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.074244,-0.000000,530.152000,1,,,,,,none,0,1,,1.203578,-0.027534,0.000003
0,52,530.048000,11.998209,close,pallet_absent,1,6.986291,5.146684,1.594607,0.816684,0.754658,0,face_width_not_pallet_sized,2,3417,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.075937,-0.000000,530.366000,1,,,,,,none,0,1,,1.195282,-0.036024,0.000002
